name             R.A.(J2000) Dec  nH20  t_exp  cr_VTP  r_VTP  cr_final cr_err   kT     z     fx(-12)  lx(44)  z_ref
Z6718           215.401    49.544   1.8   784     0.37    4.5     0.41   0.06 	 3.6e  0.0710  	  5.7  	 1.24  	 (2)
A1902           215.428    37.299   1.0   622     0.38    4.4     0.41   0.07 	 6.6e  0.1600  	  5.1  	 5.56  	(10)
A1918           216.342    63.183   1.7   887     0.32    4.4     0.35   0.05 	 5.8e  0.1394  	  5.0  	 4.13  	(38)
A1914           216.509    37.835   1.0   656     1.11    6.1     1.19   0.12 	10.8e  0.1712  	 15.0  	18.39  	(22)
A1927           217.765    25.628   2.0   556     0.36    5.6     0.41   0.08 	 4.4e  0.0908  	  6.1  	 2.14  	(19)
A1930           218.120    31.633   1.1   484     0.38    6.1     0.44   0.08 	 5.8e  0.1313  	  5.6  	 4.09  	(37)
MKW_8           220.156     3.467   2.7   335     0.92   10.4     1.16   0.17 	 2.7e  0.0276  	 18.4  	 0.60  	 (4)
RXJ1442.2+2218  220.573    22.301   2.6   536     0.36    4.2     0.42   0.08 	 4.8e  0.0970  	  6.6  	 2.66  	(11)
A1978           222.775    14.611   1.8   386     0.29    3.8     0.34   0.08 	 6.0e  0.1460  	  5.0  	 4.50  	(11)
A1983           223.248    16.709   2.0   396     0.32    4.7     0.38   0.09 	 2.5e  0.0444  	  5.5  	 0.47  	(20)
A1991           223.629    18.650   2.4   405     0.56    5.5     0.60   0.10 	 5.4   0.0586  	  9.4  	 1.38  	(19)
Z7160           224.310    22.344   3.1   426     0.27    4.0     0.28   0.07 	 9.6e  0.2578  	  4.8  	13.19  	 (2)
A2009           225.085    21.362   3.2   378     0.49    5.0     0.54   0.10 	 7.8   0.1530  	  9.2  	 9.12  	 (9)
A2034           227.545    33.506   1.5   610     0.83    7.1     0.92   0.11 	 7.1e  0.1130  	 12.7  	 6.85  	(10)
A2029           227.729     5.720   3.0   443     3.37    9.2     3.67   0.26 	 7.8   0.0766  	 61.3  	15.29  	(47)
A2033           227.848     6.319   2.8   437     0.47    5.3     0.56   0.10 	 4.7e  0.0817  	  9.0  	 2.57  	(19)
A2050           229.068     0.089   4.3   265     0.32    5.3     0.38   0.10 	 5.8e  0.1183  	  7.0  	 4.15  	(37)
A2052           229.176     7.002   2.8   449     2.60    8.3     2.92   0.23 	 3.4   0.0353  	 47.1  	 2.52  	(33)
A2055           229.672     6.211   3.1   433     0.57    4.7     0.65   0.11 	 6.1e  0.1021  	 10.9  	 4.82  	(31)
A2064           230.221    48.672   1.8   797     0.44    4.9     0.47   0.07 	 5.3e  0.1076  	  6.8  	 3.33  	(42)
A2061           230.321    30.640   1.9   395     0.88    9.7     1.04   0.15 	 5.6e  0.0777  	 15.3  	 3.95  	(20)
MKW_3s          230.507     7.699   3.1   352     1.65    6.3     1.84   0.20 	 3.0   0.0453  	 30.3  	 2.68  	 (4)
A2065           230.612    27.711   2.8   382     1.17    8.7     1.35   0.17 	 8.4   0.0723  	 22.2  	 4.94  	(20)
A2063           230.757     8.580   2.9   412     1.99    8.6     2.30   0.21 	 4.1   0.0355  	 37.5  	 2.03  	(20)
A2069           231.041    29.921   2.1   391     0.90    9.8     1.06   0.15 	 7.9e  0.1145  	 16.1  	 8.92  	(19)
A2072           231.477    18.236   3.7   349     0.23    3.8     0.26   0.07 	 5.2e  0.1270  	  4.6  	 3.13  	(11)
RXJ1532.9+3021  233.226    30.353   2.1   324     0.29    3.9     0.33   0.09 	12.5e  0.3450  	  5.0  	24.40  	(11)
A2107           234.910    21.789   4.4   405     0.69    7.2     0.83   0.13 	 4.2   0.0411  	 15.2  	 1.10  	(30)
A2111           234.924    34.417   2.0   384     0.27    4.9     0.33   0.08 	 8.8e  0.2290  	  5.0  	10.94  	(42)
A2110           234.952    30.716   2.3   240     0.53    5.7     0.62   0.14 	 5.6e  0.0980  	  9.6  	 3.93  	(35)
A2108           235.038    17.878   3.3   253     0.25    4.6     0.32   0.10 	 4.3e  0.0916  	  5.5  	 1.97  	(37)
A2124           236.250    36.066   1.7   277     0.43    6.1     0.53   0.12 	 3.7e  0.0654  	  7.3  	 1.35  	(20)
A2142           239.592    27.233   3.8   555     3.23   11.9     3.44   0.22 	11.0   0.0894  	 61.5  	20.74  	(42)
A2147           240.578    16.020   3.2   568     2.58   14.3     3.15   0.22 	 4.4   0.0353  	 53.2  	 2.84  	(42)
A2151a          241.179    17.726   3.3   580     0.76    7.7     0.88   0.11 	 3.5   0.0370  	 15.0  	 0.88  	(20)
AWM_4           241.238    23.946   4.8   620     0.47    6.3     0.55   0.08 	 3.7   0.0318  	 10.2  	 0.44  	 (4)
A2151b          241.718    17.781   3.5   581     0.08    3.4     0.10   0.04 	 1.3e  0.0321  	  1.6  	 0.07  	(20)
A2175           245.128    29.892   2.6   692     0.40    6.1     0.46   0.07 	 5.0e  0.0972  	  7.3  	 2.93  	(20)
A2199           247.165    39.550   0.9   823     7.48   14.3     8.07   0.29 	 4.7   0.0299  	 96.8  	 3.70  	(20)
